                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.31428,                0.52201,                0.94194,                0.96329,                0.95055,                0.98864,                0.94454,                0.32042,                0.54915,                0.96161,              0.0004085,              0.0004085,              0.0004085
                     37,                0.29287,                0.51266,                0.93268,                0.98012,                  0.957,                0.99055,                0.94101,                0.32598,                0.56701,                0.96331,             0.00038375,             0.00038375,             0.00038375
                     38,                0.30842,                0.52094,                0.94792,                 0.9722,                0.96015,                0.97605,                0.93166,                0.31098,                0.53607,                 0.9433,               0.000359,               0.000359,               0.000359
                     39,                0.30807,                0.51654,                0.94444,                0.96222,                0.96513,                 0.9762,                0.93476,                0.31182,                0.52477,                0.94663,             0.00033425,             0.00033425,             0.00033425
                     40,                0.29366,                0.50032,                0.92698,                0.96156,                0.97404,                0.97924,                0.94622,                0.29336,                0.52286,                0.93942,              0.0003095,              0.0003095,              0.0003095
                     41,                0.24331,                0.63121,                0.95464,                0.95483,                 0.9661,                0.98165,                0.93183,                0.35518,                0.60527,                0.98431,             0.00028475,             0.00028475,             0.00028475
                     42,                 0.2338,                0.49486,                0.92865,                0.97124,                0.95764,                0.98422,                0.93645,                 0.3151,                0.56501,                0.95444,                0.00026,                0.00026,                0.00026
                     43,                0.24133,                0.44975,                0.94669,                 0.9844,                0.95492,                0.98225,                0.94036,                0.29802,                0.52566,                 0.9387,             0.00023525,             0.00023525,             0.00023525
                     44,                0.21487,                0.46389,                0.90743,                0.96974,                 0.9573,                0.97859,                0.93731,                0.28202,                 0.5021,                0.92706,              0.0002105,              0.0002105,              0.0002105
                     45,                0.22012,                0.41878,                0.93837,                0.96597,                0.97051,                0.97569,                0.93543,                0.28286,                0.48478,                0.92299,             0.00018575,             0.00018575,             0.00018575
                     46,                0.21873,                0.41077,                0.91986,                 0.9792,                0.95824,                0.97626,                0.94297,                0.27792,                0.48987,                0.92391,               0.000161,               0.000161,               0.000161
                     47,                0.21589,                0.41701,                 0.9053,                0.97145,                0.96458,                0.97951,                0.95071,                0.28525,                0.49728,                 0.9311,             0.00013625,             0.00013625,             0.00013625
                     48,                0.20314,                0.39169,                0.90803,                0.97933,                0.96347,                0.98037,                0.94551,                0.27133,                0.44826,                0.91981,              0.0001115,              0.0001115,              0.0001115
                     49,                0.18515,                0.36212,                0.91391,                 0.9782,                0.96152,                0.97917,                0.94398,                0.25714,                0.45049,                0.90887,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.18972,                0.37506,                0.89717,                0.97878,                0.95992,                0.97782,                0.94559,                0.24491,                0.45401,                0.90201,                6.2e-05,                6.2e-05,                6.2e-05
